territory,country_code,Continent,year,renewables_perc_electricity,geo_biomass_other_TWh,solar_generation_TWh,wind_generation_TWh,hydro_generation_TWh
Austria,AUT,Europe,2000,72.58146,1.5282793,0.003,0.067,41.83565
Austria,AUT,Europe,2001,69.17786,1.667812,0.005,0.172,40.455482
Austria,AUT,Europe,2002,69.03938,1.520444,0.009,0.203,40.227
Austria,AUT,Europe,2003,60.695835,1.711921,0.015,0.366,33.214993
Austria,AUT,Europe,2004,63.975456,2.05973,0.018,0.924,36.762283
Austria,AUT,Europe,2005,63.389675,2.4401429,0.021018375,1.3312768,37.09514
Austria,AUT,Europe,2006,65.285805,3.2547655,0.022386875,1.752793,35.656086
Austria,AUT,Europe,2007,68.62184,4.0791254,0.024238374,2.037185,37.05445
Austria,AUT,Europe,2008,69.03876,4.177986,0.03011991,2.0112574,38.32949
Austria,AUT,Europe,2009,71.161385,4.2947526,0.04891428,1.9540402,40.896305
Austria,AUT,Europe,2010,66.24944,4.500126,0.08881314,2.0639138,38.36342
Austria,AUT,Europe,2011,65.70832,4.572212,0.17406996,1.9362364,34.23717
Austria,AUT,Europe,2012,74.71616,4.691266,0.33748305,2.462029,43.8477
Austria,AUT,Europe,2013,78.185486,4.7102733,0.625974,3.1532316,42.01672
Austria,AUT,Europe,2014,81.46706,4.5615125,0.785246,3.845768,41.007236
Austria,AUT,Europe,2015,76.94422,4.66263,0.937098,4.840343,37.156864
Austria,AUT,Europe,2016,78.28352,4.7955213,1.096016,5.2348385,39.971336
Austria,AUT,Europe,2017,75.719376,4.933439,1.268971,6.5715113,38.29375
Austria,AUT,Europe,2018,76.96802,4.9433427,1.455132,6.0304294,37.63791
Austria,AUT,Europe,2019,77.109795,4.6682663,1.702093,7.4500766,40.82597
Austria,AUT,Europe,2020,80.098274,4.6011376,2.042934,6.7915306,41.99803
Austria,AUT,Europe,2021,78.790146,4.3925185,2.1249056,6.751889,42.851505
Brazil,BRA,South America,2000,90.13077,7.855363,0,0.001,304.403
Brazil,BRA,South America,2001,84.69536,8.990407,0,0.0349,267.876
Brazil,BRA,South America,2002,86.08834,10.226147,0,0.061,286.092
Brazil,BRA,South America,2003,87.456116,11.894463,0,0.061,305.616
Brazil,BRA,South America,2004,86.426,12.475056,0,0.061,320.7969
Brazil,BRA,South America,2005,87.678154,13.5909395,0,0.0929,337.45667
Brazil,BRA,South America,2006,87.28425,14.845659,0,0.237,348.80545
Brazil,BRA,South America,2007,88.725204,18.063444,0,0.66278183,374.01514
Brazil,BRA,South America,2008,84.80723,19.786257,0,1.183,369.5564
Brazil,BRA,South America,2009,89.41723,22.875872,0,1.238,390.98807
Brazil,BRA,South America,2010,85.35769,31.942375,0,2.176558,403.28983
Brazil,BRA,South America,2011,87.66188,32.62904,0,2.704769,428.33292
Brazil,BRA,South America,2012,83.11646,35.76567,9.8e-4,5.05,415.34216
Brazil,BRA,South America,2013,77.524,40.971848,0.004793593,6.575863,390.992
Brazil,BRA,South America,2014,74.04187,47.07918,0.016081803,12.210252,373.43906
Brazil,BRA,South America,2015,75.02318,49.88032,0.05891741,21.625702,359.7428
Brazil,BRA,South America,2016,81.0938,51.334698,0.08526059,33.488873,380.91095
Brazil,BRA,South America,2017,79.90915,52.912106,0.8318134,42.373257,370.90646
Brazil,BRA,South America,2018,82.919846,54.382233,3.4614348,48.47514,388.97107
Brazil,BRA,South America,2019,82.85489,54.920876,6.654579,55.985622,397.87704
Brazil,BRA,South America,2020,84.641174,58.741848,10.748342,57.050705,396.3812
Brazil,BRA,South America,2021,76.7711,54.959217,16.752281,72.28597,362.81845
Canada,CAN,North America,2000,61.809593,8.917043,0.016421054,0.264,356.76007
Canada,CAN,North America,2001,59.32876,9.67215,0.019578947,0.329,331.52103
Canada,CAN,North America,2002,61.14774,10.046104,0.022736842,0.405,349.27463
Canada,CAN,North America,2003,60.078968,9.4172945,0.022789475,0.69,336.13937
Canada,CAN,North America,2004,59.69678,9.804526,0.014263158,0.945,338.39835
Canada,CAN,North America,2005,60.82082,9.155414,0.017,1.5674546,361.95575
Canada,CAN,North America,2006,60.82716,8.938046,0.021,2.4730656,352.8873
Canada,CAN,North America,2007,61.246067,8.991077,0.026,3.0072787,367.62146
Canada,CAN,North America,2008,62.65207,7.978966,0.035,3.7885141,377.48773
Canada,CAN,North America,2009,63.891922,8.942057,0.109,6.6416516,368.6874
Canada,CAN,North America,2010,62.942146,10.297558,0.25555557,8.724192,351.3848
Canada,CAN,North America,2011,64.09229,10.213784,0.5717152,10.188574,375.72372
Canada,CAN,North America,2012,65.09873,10.913819,0.88080704,11.311488,380.26715
Canada,CAN,North America,2013,65.43208,11.03561,1.4989899,11.145443,391.78888
Canada,CAN,North America,2014,64.791145,9.795245,2.120201,12.81707,382.50137
Canada,CAN,North America,2015,65.294624,9.987179,2.8949516,26.96639,382.19327
Canada,CAN,North America,2016,66.18906,11.359523,4.0323224,30.933117,385.43243
Canada,CAN,North America,2017,67.53994,10.850481,3.5737383,31.513615,394.58737
Canada,CAN,North America,2018,67.36857,10.541605,3.7969697,33.144466,385.89395
Canada,CAN,North America,2019,67.174164,10.307284,4.0797977,32.875572,381.77032
Canada,CAN,North America,2020,68.77964,9.385263,4.280405,35.641922,386.54474
Canada,CAN,North America,2021,68.16998,9.695907,5.1617374,35.117035,380.84628
Colombia,COL,South America,2000,75.70515,0.496,0.001835014,0,30.815718
Colombia,COL,South America,2001,74.58785,0.496,0.00266875,0,31.632658
Colombia,COL,South America,2002,76.718864,0.491,0.00465125,0,33.968037
Colombia,COL,South America,2003,78.920815,0.495,0.006405,0,36.17636
Colombia,COL,South America,2004,81.75855,0.467,0.007951726,0.05199,38.33006
Colombia,COL,South America,2005,80.29996,0.503,0.00953125,0.04948,39.220886
Colombia,COL,South America,2006,80.751,0.5197261,0,0.06298139,42.55789
Colombia,COL,South America,2007,81.64207,0.5071364,0,0.049890976,44.24198
Colombia,COL,South America,2008,84.021835,0.50934935,0,0.053918168,46.16088
Colombia,COL,South America,2009,73.482544,1.0032873,0,0.057707813,40.837364
Colombia,COL,South America,2010,71.70611,1.1099824,0,0.03856992,40.55746
Colombia,COL,South America,2011,82.84114,1.3783877,0,0.041271944,48.42748
Colombia,COL,South America,2012,78.589134,1.4760586,0,0.05485471,47.58171
Colombia,COL,South America,2013,69.9169,1.3464338,0,0.057624802,44.36279
Colombia,COL,South America,2014,69.58158,1.728923,0,0.0702303,44.741962
Colombia,COL,South America,2015,64.282906,1.8229002,0,0.06837745,44.681904
Colombia,COL,South America,2016,66.43863,1.9938043,0,0.050887343,46.787926
Colombia,COL,South America,2017,79.2409,1.9912593,0.005,0.003071419,57.32773
Colombia,COL,South America,2018,75.84291,2.1187904,0.012,0.04344,56.65124
Colombia,COL,South America,2019,69.465065,2.4441278,0.13206,0.06332,54.437
Colombia,COL,South America,2020,64.73943,2.820657,0.1908,0.01012,49.83735
Colombia,COL,South America,2021,73.649734,2.8208168,0.31732163,0.059852246,59.858196
Croatia,HRV,Europe,2000,57.282413,0.001,0,0,6.453
Croatia,HRV,Europe,2001,56.225525,0,0,0,7.181
Croatia,HRV,Europe,2002,46.02675,0,0,0,5.851
Croatia,HRV,Europe,2003,41.394997,0,0,0,5.458
Croatia,HRV,Europe,2004,54.931602,0.004,0,0.002,7.627
Croatia,HRV,Europe,2005,54.05819,0.014,0,0.01,7.036
Croatia,HRV,Europe,2006,51.47059,0.011,0,0.019,6.617
Croatia,HRV,Europe,2007,37.79904,0.007,0,0.035,4.7
Croatia,HRV,Europe,2008,45.6964,0.021,0,0.04,5.781
Croatia,HRV,Europe,2009,56.02996,0.025,1.6464e-5,0.054,7.409
Croatia,HRV,Europe,2010,62.880325,0.033,1.6464e-5,0.139,9.126
Croatia,HRV,Europe,2011,47.016922,0.055,1.6464e-5,0.201,5.033
Croatia,HRV,Europe,2012,49.6695,0.094,0.002,0.329,4.837
Croatia,HRV,Europe,2013,66.5233,0.125,0.011293959,0.517,8.622
Croatia,HRV,Europe,2014,73.95833,0.165,0.035,0.73,9.007
Croatia,HRV,Europe,2015,66.844444,0.266,0.057,0.796,6.391
Croatia,HRV,Europe,2016,66.24405,0.431,0.066,1.014,6.853
Croatia,HRV,Europe,2017,60.39016,0.5256,0.0787,1.204,5.3074
Croatia,HRV,Europe,2018,72.177124,0.6701,0.0749,1.3354,7.7009
Croatia,HRV,Europe,2019,65.95577,0.9703,0.0831,1.4673,5.8261
Croatia,HRV,Europe,2020,64.57704,1.072,0.0955,1.7207,5.6624
Croatia,HRV,Europe,2021,69.64286,1.1852294,0.0972935,2.06732,7.153081
Denmark,DNK,Europe,2000,15.472222,1.2996056,0.0012,4.2412,0.0302
Denmark,DNK,Europe,2001,15.509013,1.5115592,0.0012,4.3060193,0.0276
Denmark,DNK,Europe,2002,17.286152,1.8791214999999999,0.001280556,4.876939,0.0318
Denmark,DNK,Europe,2003,17.48267,2.4933515,0.001519444,5.5607834,0.0212
Denmark,DNK,Europe,2004,23.5527,2.9107547,0.001838889,6.5831113,0.0265
Denmark,DNK,Europe,2005,27.049406,3.1742494,0.002161111,6.614,0.0225
Denmark,DNK,Europe,2006,20.171015,3.0699494,0.002213889,6.1079583,0.0234
