territory,country_code,Continent,year,renewables_perc_electricity,geo_biomass_other_TWh,solar_generation_TWh,wind_generation_TWh,hydro_generation_TWh
Algeria,DZA,Africa,1990,0.8383011,0,0,0,0.135
Algeria,DZA,Africa,1991,1.6892477,0,0,0,0.293
Algeria,DZA,Africa,1992,1.0882642,0,0,0,0.199
Algeria,DZA,Africa,1993,1.8182755,0,0,0,0.353
Algeria,DZA,Africa,1994,0.83488405,0,0,0,0.166
Algeria,DZA,Africa,1995,0.9789501,0,0,0,0.193
Algeria,DZA,Africa,1996,0.6536265,0,0,0,0.135
Algeria,DZA,Africa,1997,0.34888592,0,0,0,0.075
Algeria,DZA,Africa,1998,0.9242542,0,0,0,0.215
Algeria,DZA,Africa,1999,0.8199701,0,0,0,0.203
Algeria,DZA,Africa,2000,0.20929259,0,0,0,0.054
Algeria,DZA,Africa,2001,0.2796644,0,0,0,0.069
Algeria,DZA,Africa,2002,0.23085803,0,0,0,0.057
Algeria,DZA,Africa,2003,0.93491554,0,0,0,0.265
Algeria,DZA,Africa,2004,0.8506295,0,0,0,0.251
Algeria,DZA,Africa,2005,1.7235976,0,0,0,0.5553
Algeria,DZA,Africa,2006,0.6640507,0,0,0,0.2176
Algeria,DZA,Africa,2007,0.6289308,0,0,0,0.226
Algeria,DZA,Africa,2008,0.74015325,0,0,0,0.283
Algeria,DZA,Africa,2009,0.8285005,0,0,0,0.342
Algeria,DZA,Africa,2010,0.39534885,0,0.0091,0,0.173
Algeria,DZA,Africa,2011,1.0379905,0,0.01811875,0,0.378
Algeria,DZA,Africa,2012,1.1483607,0,0.026723014,0,0.389
Algeria,DZA,Africa,2013,0.58604157,0,0.0286,0,0.099
Algeria,DZA,Africa,2014,0.41390726,0,0.06,0.001,0.193
Algeria,DZA,Africa,2015,0.34013605,0,0.058,0.019,0.145
Algeria,DZA,Africa,2016,0.509287,0,0.245,0.019052055,0.072
Algeria,DZA,Africa,2017,0.8951049,0,0.504,0.019,0.056
Algeria,DZA,Africa,2018,1.0816808,0,0.603,0.01,0.117
Algeria,DZA,Africa,2019,1.0953188,0,0.615,0.01,0.152
Algeria,DZA,Africa,2020,0.9898268,0,0.685,0.0077,0.0496
Algeria,DZA,Africa,2021,1.1735878,0,0.664,0.0105,0.0093
Argentina,ARG,South America,1990,34.989185,0.13302182,0,0,17.713175
Argentina,ARG,South America,1991,29.710293,0.1310081,0,0,15.869253
Argentina,ARG,South America,1992,34.389725,0.12998593,0,0,19.16509
Argentina,ARG,South America,1993,38.57245,0.09599508,0,0,23.768307
Argentina,ARG,South America,1994,41.73245,0.099004395,0,0,27.286676
Argentina,ARG,South America,1995,39.635246,0.119016126,0,0,26.503681
Argentina,ARG,South America,1996,32.54642,0.22302064,0,0.009618,22.471685
Argentina,ARG,South America,1997,38.803555,0.17875852,0,0.014592,27.924665
Argentina,ARG,South America,1998,36.01876,0.20689325,1.7e-5,0.032541,26.475504
Argentina,ARG,South America,1999,26.86689,0.26199996,2.6e-5,0.034781,21.396791
Argentina,ARG,South America,2000,33.88856,0.3860283,3.6e-5,0.034758,28.575241
Argentina,ARG,South America,2001,42.82576,0.36299825,4.3e-5,0.049361,36.580173
Argentina,ARG,South America,2002,44.43623,0.5299802,4.7e-5,0.073405,35.778835
Argentina,ARG,South America,2003,39.006126,0.88059855,6.5e-5,0.077954,33.800575
Argentina,ARG,South America,2004,32.42763,0.86751235,7e-5,0.072446,30.462402
Argentina,ARG,South America,2005,34.304974,0.9164998,8.1e-5,0.07171966,34.216137
Argentina,ARG,South America,2006,34.712746,1.046309,9e-5,0.06964,38.015213
